9000136592;Germany ; Central Europe ; East;57.5;;;;;;0.7
9000168747;Poland ; Eastern Europe ; East;241.5;;;;;;0.7
9000168058;France ; France International ; West;57.5;;;;;;0.7
9000182798;Hungary ; Eastern Europe ; East;241.5;;;;;;0.7
9000133686;Belgium ; BeLux ; North;57.5;;;;;;0.7
9000069817;Netherlands ; Netherlands ; North;57.5;;;;;;0.7
9000169070;Switzerland ; Central Europe ; East;57.5;;;;;;0.7
9000018333;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000208402;Romania ; Eastern Europe ; East;57.5;;;;;;0.7
9000130105;Portugal ;  Iberica ; South;172.5;;;;;;0.7
9000161710;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000002043;Romania ; Eastern Europe ; East;241.5;;;;;;0.7
9000005752;Switzerland ; Central Europe ; East;161.0;;;;;;0.7
9000076608;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000150994;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000011995;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000099054;France ; France International ; West;345.0;;;;;;0.7
9000074017;Lithuania ; Eastern Europe ; East;57.5;;;;;;0.7
9000197550;Italy ; South East Europe ; South;57.5;;;;;;0.7
9000162313;Italy ; South East Europe ; South;345.0;;;;;;0.7
9000024294;Moldavia ; Eastern Europe ; East;57.5;;;;;;0.7
9000055084;Netherlands ; Netherlands ; North;322.0;;;;;;0.7
9000020831;France ; France International ; West;345.0;;;;;;0.7
9000079313;Italy ; South East Europe ; South;345.0;;;;;;0.7
9000043062;Czech Republic ; Eastern Europe ; East;241.5;;;;;;0.7
9000013676;Luxembourg ; BeLux ; North;115.0;;;;;;0.7
9000209802;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000106148;Germany ; Central Europe ; East;57.5;;;;;;0.7
9000089019;Germany ; Central Europe ; East;161.0;;;;;;0.7
9000032733;Poland ; Eastern Europe ; East;57.5;;;;;;0.7
9000020435;France ; France International ; West;345.0;;;;;;0.7
